dataset,reported_organ,tool,modality,as,pct_hra_ct_overlap
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002078,0.91304347826086956522
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004200,0.91304347826086956522
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002084,0.91304347826086956522
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002189,0.91304347826086956522
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001228,0.91304347826086956522
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0002080,0.91304347826086956522
http://purl.org/ccf/1.5/4ae53bc8-b6da-4ba9-9030-a93ae44389b9,,azimuth,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0001223,0.91304347826086956522
http://purl.org/ccf/1.5/4af4b1bd-c71d-4ade-a9f6-47b2ccc9f5bb,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0001159,0.2
http://purl.org/ccf/1.5/4af4b1bd-c71d-4ade-a9f6-47b2ccc9f5bb,,spatial,spatial,http://purl.obolibrary.org/obo/UBERON_0002116,0.2
http://purl.org/ccf/1.5/4af4b1bd-c71d-4ade-a9f6-47b2ccc9f5bb,,spatial,spatial,http://purl.org/sig/ont/fma/fma14928,0.2
http://purl.org/ccf/1.5/4af4b1bd-c71d-4ade-a9f6-47b2ccc9f5bb,,spatial,spatial,http://purl.org/sig/ont/fma/fma14929,0.2
