sex,donor,consortium_name
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AV1,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AV13,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/3116d060-0a8e-4767-99bb-e866badea1ed#AV3,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_49,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_5,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_50,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_51,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_52,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_53,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_54,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_55,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_6,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_7,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_8,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48259aa8-f168-4bf5-b797-af8e88da6637#HBCA_Donor_9,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_21_0948,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_22_0200,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_22_0434,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_22_0458,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_22_0784,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_22_0849,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_22_0896,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_23_0334,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_23_0491,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_23_0574,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#BCM_23_1430,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#Hu0220,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#Hu13,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_19_D008,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_22_16860,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_22_17017,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_22_17464,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_22_17939,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_22_20357,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_22_20372,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_22_33472,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_22_37089,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_23_01524,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/48c15b0c-6039-4e0f-9668-b6b3c0b830ad#MMD_23_17738,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4a2c25af-558a-45fc-bc9a-54ec44a1d63f#Reprogrammed%20CD45%2B%20PBMCs%2C%20unknown%20donor,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e#17-010,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e#17-011,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e#19-D008,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e#BCM_22_0200,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e#BCM_22_0434,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e#BCM_22_0458,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e#BCM_22_0784,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/4c6eaf5c-6d57-4c76-b1e9-60df8c655f1e#BCM_22_0849,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/661a402a-2a5a-4c71-9b05-b346c57bc451#Hrv30,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/661a402a-2a5a-4c71-9b05-b346c57bc451#Hrv34,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/661a402a-2a5a-4c71-9b05-b346c57bc451#Hrv37,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/661a402a-2a5a-4c71-9b05-b346c57bc451#Hrv39,CxG
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/661a402a-2a5a-4c71-9b05-b346c57bc451#Hrv47,CxG
