sex,dataset,technology,description,annotation_method,unique_cell_type_count
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP27$mammary%20gland,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,34
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP27$left%20ovary,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,24
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP27$right%20ovary,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,15
Male,https://entity.api.hubmapconsortium.org/entities/5908774e08f8a32737cdfe70e868a944,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,37
Male,https://entity.api.hubmapconsortium.org/entities/5908774e08f8a32737cdfe70e868a944,Slide-seq,Dataset Type: Slide-seq [Salmon],pan-human-azimuth,39
Male,https://entity.api.hubmapconsortium.org/entities/2bd350c08997ecfec9c22f453cf4e6af,Slide-seq,Dataset Type: Slide-seq [Salmon],azimuth,39
Male,https://entity.api.hubmapconsortium.org/entities/b1ac71625c1aba9d819fae1725c27a42,RNAseq,Dataset Type: RNAseq [Salmon],celltypist,30
Male,https://entity.api.hubmapconsortium.org/entities/ed630484e46ea49b319c0e1f92140059,RNAseq,Dataset Type: RNAseq [Salmon],popv,28
Male,https://entity.api.hubmapconsortium.org/entities/ed630484e46ea49b319c0e1f92140059,RNAseq,Dataset Type: RNAseq [Salmon],pan-human-azimuth,42
Male,https://entity.api.hubmapconsortium.org/entities/f7a8e78dea9cf70735059e8b4a179701,RNAseq,Dataset Type: RNAseq [Salmon],azimuth,34
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP28$left%20ovary,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,29
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP28$right%20ovary,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,25
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP30$left%20ovary,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,34
Female,https://api.cellxgene.cziscience.com/dp/v1/collections/e5f58829-1a66-40b5-a624-9046778e74f5#TSP30$right%20ovary,10x,"Data/Assay Types: 10x, ",pan-human-azimuth,36
