modality,tool,cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
sc_transcriptomics,pan-human-azimuth,fibroblast,http://purl.obolibrary.org/obo/CL_0000057,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
sc_proteomics,vccf,fibroblast,http://purl.obolibrary.org/obo/CL_0000057,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
sc_transcriptomics,deepcelltypes,fibroblast,http://purl.obolibrary.org/obo/CL_0000057,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
sc_transcriptomics,frmatch,fibroblast,http://purl.obolibrary.org/obo/CL_0000057,true,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
sc_transcriptomics,celltypist,ependymal cell,http://purl.obolibrary.org/obo/CL_0000065,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000125,glial cell
sc_proteomics,vccf,epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,deepcelltypes,epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,popv,epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,azimuth,epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,deepcelltypes-hubmap,epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,pan-human-azimuth,epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,ribca,epithelial cell,http://purl.obolibrary.org/obo/CL_0000066,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,popv,ciliated epithelial cell,http://purl.obolibrary.org/obo/CL_0000067,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_proteomics,vccf,duct epithelial cell,http://purl.obolibrary.org/obo/CL_0000068,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,frmatch,duct epithelial cell,http://purl.obolibrary.org/obo/CL_0000068,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
sc_transcriptomics,popv,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,azimuth,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,deepcelltypes-hubmap,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
sc_transcriptomics,celltypist,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071,true,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell,,
