cell_label,cell_id,is_mapped,level_1_cell_id,level_1_cell_label,level_2_cell_id,level_2_cell_label
macrophage,http://purl.obolibrary.org/obo/CL_0000235,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000235,macrophage
B cell,http://purl.obolibrary.org/obo/CL_0000236,true,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell,http://purl.obolibrary.org/obo/CL_0000236,B cell
keratinizing barrier epithelial cell,http://purl.obolibrary.org/obo/CL_0000237,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
non keratinizing barrier epithelial cell,http://purl.obolibrary.org/obo/CL_0000238,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
brush border epithelial cell,http://purl.obolibrary.org/obo/CL_0000239,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
stratified squamous epithelial cell,http://purl.obolibrary.org/obo/CL_0000240,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
stratified cuboidal epithelial cell,http://purl.obolibrary.org/obo/CL_0000241,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
Merkel cell,http://purl.obolibrary.org/obo/CL_0000242,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
transitional epithelial cell,http://purl.obolibrary.org/obo/CL_0000244,true,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell,,
Mauthner neuron,http://purl.obolibrary.org/obo/CL_0000246,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
Rohon-Beard neuron,http://purl.obolibrary.org/obo/CL_0000247,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
extramedullary cell,http://purl.obolibrary.org/obo/CL_0000251,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
eurydendroid cell,http://purl.obolibrary.org/obo/CL_0000253,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
eye photoreceptor cell,http://purl.obolibrary.org/obo/CL_0000287,true,http://purl.obolibrary.org/obo/CL_0002319,neural cell,http://purl.obolibrary.org/obo/CL_0000540,neuron
