dataset,reported_organ,tool,modality,as,similarity
http://purl.org/ccf/1.5/04baf323-eda0-4f72-bea1-aa943aa70894,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004887,0.005117249397019664
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7385,0.946781039546382
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0010748,0.02422718787926352
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma73165,0.024982680637885463
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0016479,0.04828850918878017
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7338,0.9877549334001908
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14926,0.0004941345623750211
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7373,0.98130964861554
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7430,0.8996708268772453
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7361,0.9280446269768046
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma15729,0.04828850918878018
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7400,0.9944860030323565
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7386,0.9661653627128133
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.obolibrary.org/obo/UBERON_0004887,0.9353703019399515
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7374,0.9746949142498667
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7426,0.9265345547168642
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7402,0.819502374301704
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14487,0.048288509188780186
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma14928,0.0008640554741987941
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7416,0.9214300551854548
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7366,0.984533192252924
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7428,0.9669454702447245
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7398,0.8583863962545946
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7360,0.9190736049634439
http://purl.org/ccf/1.5/05310dee-180d-4e59-8c58-b101d12f4c73,Unknown,popv,sc_bulk,http://purl.org/sig/ont/fma/fma7267,0.016611065964134905
