cell_label,cell_id,level,level_cell_id,level_cell_label
non-classical monocyte,http://purl.obolibrary.org/obo/CL_0000875,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
non-classical monocyte,http://purl.obolibrary.org/obo/CL_0000875,L2,http://purl.obolibrary.org/obo/CL_0000576,monocyte
pancreatic A cell,http://purl.obolibrary.org/obo/CL_0000171,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pancreatic D cell,http://purl.obolibrary.org/obo/CL_0000173,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pancreatic D cell,http://purl.obolibrary.org/obo/CL_0000173,L1,http://purl.obolibrary.org/obo/CL_0002319,neural cell
pancreatic D cell,http://purl.obolibrary.org/obo/CL_0000173,L2,http://purl.obolibrary.org/obo/CL_0000540,neuron
pancreatic PP cell,http://purl.obolibrary.org/obo/CL_0002275,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pancreatic acinar cell,http://purl.obolibrary.org/obo/CL_0002064,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pancreatic acinar cell,http://purl.obolibrary.org/obo/CL_0002064,L2,http://purl.obolibrary.org/obo/CL_0000152,exocrine cell
pancreatic ductal cell,http://purl.obolibrary.org/obo/CL_0002079,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pancreatic stellate cell,http://purl.obolibrary.org/obo/CL_0002410,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
pancreatic stellate cell,http://purl.obolibrary.org/obo/CL_0002410,L2,http://purl.obolibrary.org/obo/CL_0000499,stromal cell
paneth cell,http://purl.obolibrary.org/obo/CL_0000510,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
paneth cell of colon,http://purl.obolibrary.org/obo/CL_0009009,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
paneth cell of epithelium of small intestine,http://purl.obolibrary.org/obo/CL_1000343,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
parietal epithelial cell,http://purl.obolibrary.org/obo/CL_1000452,L1,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
pericyte,http://purl.obolibrary.org/obo/CL_0000669,L1,http://purl.obolibrary.org/obo/CL_0002320,connective tissue cell
plasma cell,http://purl.obolibrary.org/obo/CL_0000786,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
plasmacytoid dendritic cell,http://purl.obolibrary.org/obo/CL_0000784,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
plasmacytoid dendritic cell,http://purl.obolibrary.org/obo/CL_0000784,L2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
"plasmacytoid dendritic cell, human",http://purl.obolibrary.org/obo/CL_0001058,L1,http://purl.obolibrary.org/obo/CL_0000988,hematopoietic cell
"plasmacytoid dendritic cell, human",http://purl.obolibrary.org/obo/CL_0001058,L2,http://purl.obolibrary.org/obo/CL_0000451,dendritic cell
